candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,35,53.85,UNITED STATES SENATOR (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,5,7.69,UNITED STATES SENATOR (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,1,1.54,UNITED STATES SENATOR (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,0,0,UNITED STATES SENATOR (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,10,15.38,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,14,21.54,UNITED STATES SENATOR (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,16,4.15,UNITED STATES SENATOR (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,4,1.04,UNITED STATES SENATOR (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,11,2.85,UNITED STATES SENATOR (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,312,80.83,UNITED STATES SENATOR (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,1,0.26,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,42,10.88,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, SAM",DEMOCRAT,17,33.33,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KOEPNICK, SAMUEL",DEMOCRAT,24,47.06,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"RODRIGUEZ, XIOMARA ""XIO""",DEMOCRAT,10,19.61,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"BACON, RAY",NONPARTISAN,64,16.89,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CAREY, SCOTT H.",NONPARTISAN,34,8.97,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CLONTZ, DONNA",NONPARTISAN,87,22.96,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"COOK, DAVE",NONPARTISAN,126,33.25,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"FRALICK, ADRIANA GUZMAN",NONPARTISAN,68,17.94,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"EDERA, PETE",REPUBLICAN,62,15.86,COUNTY COMMISSIONER DISTRICT 1 (REPUBLICAN)
"FIORENZI, LEONARD (Incumbent)",REPUBLICAN,147,37.60,COUNTY COMMISSIONER DISTRICT 1 (REPUBLICAN)
"GOICOECHEA, J.J.",REPUBLICAN,182,46.55,COUNTY COMMISSIONER DISTRICT 1 (REPUBLICAN)
"BLACK, TROY",REPUBLICAN,52,13.90,COUNTY COMMISSIONER DISTRICT 3 (REPUBLICAN)
"DEMPSEY, PATRICK",REPUBLICAN,121,32.35,COUNTY COMMISSIONER DISTRICT 3 (REPUBLICAN)
"LEPPALA, BILL",REPUBLICAN,35,9.36,COUNTY COMMISSIONER DISTRICT 3 (REPUBLICAN)
"PAGE, MIKE (Incumbent)",REPUBLICAN,166,44.39,COUNTY COMMISSIONER DISTRICT 3 (REPUBLICAN)
"BROWN, TERRILYNN",NONPARTISAN,256,53.44,SCHOOL BOARD TRUSTEE SEAT 1B (NONPARTISAN)
"JONES, BENITA (Incumbent)",NONPARTISAN,121,25.26,SCHOOL BOARD TRUSTEE SEAT 1B (NONPARTISAN)
"SHARKOZY, MICHAEL",NONPARTISAN,102,21.29,SCHOOL BOARD TRUSTEE SEAT 1B (NONPARTISAN)
"BACON-BOWLING, KATHY",NONPARTISAN,271,57.91,SCHOOL BOARD TRUSTEE SEAT 1C (NONPARTISAN)
"BURNHAM, ROBERT E. (Incumbent)",NONPARTISAN,158,33.76,SCHOOL BOARD TRUSTEE SEAT 1C (NONPARTISAN)
"GARCIA, ALEXIS",NONPARTISAN,39,8.33,SCHOOL BOARD TRUSTEE SEAT 1C (NONPARTISAN)
"BAUMANN, DARLA R.",NONPARTISAN,407,100.00,SCHOOL BOARD TRUSTEE SEAT 2B (NONPARTISAN)
"PASTORINO, DAVID A. (Incumbent)",NONPARTISAN,356,100.00,"EUREKA COUNTY TV DISTRICT, SEAT 4A (NONPARTISAN)"
"EDERA, PETE",NONPARTISAN,353,100.00,"EUREKA COUNTY TV DISTRICT, SEAT 4B (NONPARTISAN)"
"BREITRICK, JAMES",NONPARTISAN,350,100.00,"EUREKA COUNTY TV DISTRICT, SEAT 4C (NONPARTISAN)"
"MILANO, MARTIN ""SONNY""",NONPARTISAN,340,100.00,"EUREKA COUNTY TV DISTRICT, SEAT 4D (NONPARTISAN)"
"LEPPALA, BILL (Incumbent)",NONPARTISAN,335,100.00,"EUREKA COUNTY TV DISTRICT, SEAT 4E (NONPARTISAN)"
"FYE, SUSAN E. (Incumbent)",NONPARTISAN,364,100.00,JUSTICE OF THE PEACE - BEOWAWE - NP (NONPARTISAN)
