candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,386,45.57,UNITED STATES SENATOR (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,82,9.68,UNITED STATES SENATOR (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,73,8.62,UNITED STATES SENATOR (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,51,6.02,UNITED STATES SENATOR (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,123,14.52,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,132,15.58,UNITED STATES SENATOR (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,120,4.26,UNITED STATES SENATOR (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,49,1.74,UNITED STATES SENATOR (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,56,1.99,UNITED STATES SENATOR (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,2493,88.50,UNITED STATES SENATOR (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,12,0.43,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,87,3.09,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, SAM",DEMOCRAT,203,27.10,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KOEPNICK, SAMUEL",DEMOCRAT,335,44.73,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"RODRIGUEZ, XIOMARA ""XIO""",DEMOCRAT,211,28.17,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"BACON, RAY",NONPARTISAN,448,12.84,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CAREY, SCOTT H.",NONPARTISAN,346,9.92,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CLONTZ, DONNA",NONPARTISAN,566,16.22,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"COOK, DAVE",NONPARTISAN,1375,39.41,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"FRALICK, ADRIANA GUZMAN",NONPARTISAN,754,21.61,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"PORTER, NANCY (Incumbent)",NONPARTISAN,3674,100.00,"DISTRICT COURT JUDGE, DISTRICT 4, DEPARTMENT 1 (NONPARTISAN)"
"KACIN, AL (Incumbent)",NONPARTISAN,3649,100.00,"DISTRICT COURT JUDGE, DISTRICT 4, DEPARTMENT 2 (NONPARTISAN)"
"GERBER, GRANT",REPUBLICAN,1870,67.46,COUNTY COMM DIST. 5 (CW) (REPUBLICAN)
"LARASON, JACK",REPUBLICAN,902,32.54,COUNTY COMM DIST. 5 (CW) (REPUBLICAN)
"BOATMAN, BRIAN E.",NONPARTISAN,109,43.25,"EASTLINE, JUSTICE OF THE PEACE (NONPARTISAN)"
"MELVILLE, REESE F. (Incumbent)",NONPARTISAN,100,39.68,"EASTLINE, JUSTICE OF THE PEACE (NONPARTISAN)"
"WISKERCHEN, DAVID",NONPARTISAN,43,17.06,"EASTLINE, JUSTICE OF THE PEACE (NONPARTISAN)"
"CHIESA, ANTOINETTE",NONPARTISAN,193,6.20,"ELKO, JUSTICE OF THE PEACE (NONPARTISAN)"
"HILLEWAERT, DIANA",NONPARTISAN,448,14.40,"ELKO, JUSTICE OF THE PEACE (NONPARTISAN)"
"LOREMAN, DAVID D.",NONPARTISAN,978,31.43,"ELKO, JUSTICE OF THE PEACE (NONPARTISAN)"
"SIMONS, MASON E.",NONPARTISAN,1493,47.98,"ELKO, JUSTICE OF THE PEACE (NONPARTISAN)"
"BURT, MONICA L.",NONPARTISAN,46,46.46,"JACKPOT, JUSTICE OF THE PEACE (NONPARTISAN)"
"HESTER, J. BRAD",NONPARTISAN,53,53.54,"JACKPOT, JUSTICE OF THE PEACE (NONPARTISAN)"
"VALLONI, FLORENCE",NONPARTISAN,0,0,"JACKPOT, JUSTICE OF THE PEACE (NONPARTISAN)"
"ELQUIST, CINDY",NONPARTISAN,3474,100.00,SCHOOL BOARD TRUSTEE DST 2 -AL (NONPARTISAN)
"KERR, ANNETTE (Incumbent)",NONPARTISAN,3458,100.00,SCHOOL BOARD TRUSTEE DST 3 -AL (NONPARTISAN)
