candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,230,59.43,UNITED STATES SENATOR (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,30,7.75,UNITED STATES SENATOR (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,22,5.68,UNITED STATES SENATOR (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,10,2.58,UNITED STATES SENATOR (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,41,10.59,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,54,13.95,UNITED STATES SENATOR (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,26,6.25,UNITED STATES SENATOR (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,5,1.20,UNITED STATES SENATOR (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,5,1.20,UNITED STATES SENATOR (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,364,87.50,UNITED STATES SENATOR (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,2,0.48,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,14,3.37,UNITED STATES SENATOR (REPUBLICAN)
"ANDERSON, DIANA R.",REPUBLICAN,8,2.00,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"CEGAVSKE, BARBARA K.",REPUBLICAN,9,2.24,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"DELAROSA, MIKE",REPUBLICAN,13,3.24,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"HILL, KIRAN",REPUBLICAN,1,0.25,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"LEEDS, ROBERT X.",REPUBLICAN,0,0,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"SCHWARTZ, DAN",REPUBLICAN,11,2.74,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"TARKANIAN, DANNY",REPUBLICAN,282,70.32,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"WEGNER, KENNETH A.",REPUBLICAN,71,17.71,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"ZELLER, SID",REPUBLICAN,6,1.50,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"KNECHT, RON (Incumbent)",NONPARTISAN,222,28.53,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"MACKEDON, MICHON",NONPARTISAN,437,56.17,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"RIENDEAU, RICHARD ""OLD RICK""",NONPARTISAN,119,15.30,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"NEWBURN, MARK",NONPARTISAN,703,100.00,"STATE BOARD OF EDUCATION, DISTRICT 4 (NONPARTISAN)"
"BLACK, NANCY (Incumbent)",DEMOCRAT,192,49.10,COUNTY COMM. SEAT A (DEMOCRATIC)
"CICHOWLAZ, CLIFFORD ""CLIFF""",DEMOCRAT,199,50.90,COUNTY COMM. SEAT A (DEMOCRATIC)
"COEN, PATRICIA",NONPARTISAN,558,44.86,HOSPITAL BOARD TRUSTEE 4 YR (NONPARTISAN)
"FITZGERALD, THOMAS (Incumbent)",NONPARTISAN,686,55.14,HOSPITAL BOARD TRUSTEE 4 YR (NONPARTISAN)
"GLAZIER, DONNA J. (Incumbent)",NONPARTISAN,733,100.00,SCHOOL TRUSTEE AT LARGE 4 YR (NONPARTISAN)
"NEVILLE, KEITH E.",NONPARTISAN,765,100.00,SCHOOL TRUSTEE SEAT INSIDE 2 YR (NONPARTISAN)
"NIXON, MARK D. (Incumbent)",NONPARTISAN,701,100.00,SCHOOL TRUSTEE SEAT INSIDE 4 YR (NONPARTISAN)
"MCMINN, BEATRICE M. (Incumbent)",NONPARTISAN,698,100.00,SCHOOL TRUSTEE SEAT OUTSIDE 2 YR (NONPARTISAN)
"ESSENPREIS, SANDRA (Incumbent)",NONPARTISAN,670,100.00,SCHOOL TRUSTEE SEAT OUTSIDE 4 YR (NONPARTISAN)
