candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,555,65.60,UNITED STATES SENATOR (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,74,8.75,UNITED STATES SENATOR (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,37,4.37,UNITED STATES SENATOR (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,20,2.36,UNITED STATES SENATOR (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,62,7.33,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,98,11.58,UNITED STATES SENATOR (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,114,4.48,UNITED STATES SENATOR (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,32,1.26,UNITED STATES SENATOR (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,29,1.14,UNITED STATES SENATOR (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,2280,89.66,UNITED STATES SENATOR (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,7,0.28,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,81,3.19,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, SAM",DEMOCRAT,162,21.54,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KOEPNICK, SAMUEL",DEMOCRAT,418,55.59,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"RODRIGUEZ, XIOMARA ""XIO""",DEMOCRAT,172,22.87,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KNECHT, RON (Incumbent)",NONPARTISAN,558,15.55,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"MACKEDON, MICHON",NONPARTISAN,2808,78.24,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"RIENDEAU, RICHARD ""OLD RICK""",NONPARTISAN,223,6.21,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"BACON, RAY",NONPARTISAN,537,16.80,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CAREY, SCOTT H.",NONPARTISAN,427,13.36,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CLONTZ, DONNA",NONPARTISAN,796,24.91,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"COOK, DAVE",NONPARTISAN,999,31.26,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"FRALICK, ADRIANA GUZMAN",NONPARTISAN,437,13.67,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
