precinct,office,candidate,votes,jurisdiction
1038 - County,United States Senator (Democratic),"Berkley, Shelley",16,Clark
1038 - County,United States Senator (Democratic),"Brown, Steve",1,Clark
1038 - County,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1038 - County,United States Senator (Democratic),"Macias, Louis",1,Clark
1038 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1038 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1039 - County,United States Senator (Democratic),"Berkley, Shelley",37,Clark
1039 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1039 - County,United States Senator (Democratic),"Ellsworth, Barry",3,Clark
1039 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1039 - County,United States Senator (Democratic),None Of These Candidates,2,Clark
1039 - County,United States Senator (Democratic),"Price, Nancy",4,Clark
1063 - County,United States Senator (Democratic),"Berkley, Shelley",59,Clark
1063 - County,United States Senator (Democratic),"Brown, Steve",2,Clark
1063 - County,United States Senator (Democratic),"Ellsworth, Barry",4,Clark
1063 - County,United States Senator (Democratic),"Macias, Louis",1,Clark
1063 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1063 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1072 - SCH,United States Senator (Democratic),"Berkley, Shelley",67,Clark
1072 - SCH,United States Senator (Democratic),"Brown, Steve",12,Clark
1072 - SCH,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1072 - SCH,United States Senator (Democratic),"Macias, Louis",0,Clark
1072 - SCH,United States Senator (Democratic),None Of These Candidates,9,Clark
1072 - SCH,United States Senator (Democratic),"Price, Nancy",14,Clark
1074 - LGH,United States Senator (Democratic),"Berkley, Shelley",131,Clark
1074 - LGH,United States Senator (Democratic),"Brown, Steve",18,Clark
1074 - LGH,United States Senator (Democratic),"Ellsworth, Barry",9,Clark
1074 - LGH,United States Senator (Democratic),"Macias, Louis",5,Clark
1074 - LGH,United States Senator (Democratic),None Of These Candidates,30,Clark
1074 - LGH,United States Senator (Democratic),"Price, Nancy",10,Clark
1075 - LGH,United States Senator (Democratic),"Berkley, Shelley",14,Clark
1075 - LGH,United States Senator (Democratic),"Brown, Steve",0,Clark
1075 - LGH,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1075 - LGH,United States Senator (Democratic),"Macias, Louis",0,Clark
1075 - LGH,United States Senator (Democratic),None Of These Candidates,0,Clark
1075 - LGH,United States Senator (Democratic),"Price, Nancy",0,Clark
1137 - County,United States Senator (Democratic),"Berkley, Shelley",29,Clark
1137 - County,United States Senator (Democratic),"Brown, Steve",4,Clark
1137 - County,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1137 - County,United States Senator (Democratic),"Macias, Louis",1,Clark
1137 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1137 - County,United States Senator (Democratic),"Price, Nancy",2,Clark
1302 - County,United States Senator (Democratic),"Berkley, Shelley",43,Clark
1302 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1302 - County,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1302 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
