precinct,office,candidate,votes
Argenta 01,ARGENTA Justice of the Peace (Nonpartisan),"BUNCH, MAX W.",102
Argenta 01,"LANDER COUNTY Hospital Dist Trustee, Seat B (Nonpartisan)","ANDREOLA, KARLENE",91
Argenta 01,"LANDER COUNTY Hospital Dist Trustee, Seat C (Nonpartisan)","ANCHO, KATHY L.",100
Argenta 01,"LANDER COUNTY School Trustee, Area ONE (Nonpartisan)","LAKE, MARK",98
Argenta 01,"LANDER COUNTY School Trustee, Area TWO (Nonpartisan)","MORRISON, JANICE",90
Argenta 01,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",12
Argenta 01,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",13
Argenta 01,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",26
Argenta 01,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",26
Argenta 01,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",16
Argenta 01,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",5
Argenta 01,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",11
Argenta 01,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",3
Argenta 01,United States Senator (Democratic),"Berkley, Shelley",17
Argenta 01,United States Senator (Democratic),"Brown, Steve",1
Argenta 01,United States Senator (Democratic),"Ellsworth, Barry",1
Argenta 01,United States Senator (Democratic),"Macias, Louis",2
Argenta 01,United States Senator (Democratic),None Of These Candidates,2
Argenta 01,United States Senator (Democratic),"Price, Nancy",1
Argenta 01,United States Senator (Republican),"Brooks, Sherry",3
Argenta 01,United States Senator (Republican),"Charles, Richard",2
Argenta 01,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0
Argenta 01,United States Senator (Republican),"Heller, Dean",74
Argenta 01,United States Senator (Republican),None Of These Candidates,0
Argenta 01,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1
Argenta 01,"University Board of Regents, District  9 (Nonpartisan)","KNECHT, RON",39
Argenta 01,"University Board of Regents, District  9 (Nonpartisan)","Mackedon, Michon",43
Argenta 01,"University Board of Regents, District  9 (Nonpartisan)","Riendeau, Richard ""Old Rick""",14
Argenta 02,ARGENTA Justice of the Peace (Nonpartisan),"BUNCH, MAX W.",104
Argenta 02,"LANDER COUNTY Hospital Dist Trustee, Seat B (Nonpartisan)","ANDREOLA, KARLENE",90
Argenta 02,"LANDER COUNTY Hospital Dist Trustee, Seat C (Nonpartisan)","ANCHO, KATHY L.",95
Argenta 02,"LANDER COUNTY School Trustee, Area ONE (Nonpartisan)","LAKE, MARK",95
Argenta 02,"LANDER COUNTY School Trustee, Area TWO (Nonpartisan)","MORRISON, JANICE",92
Argenta 02,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",13
Argenta 02,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",19
Argenta 02,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",19
Argenta 02,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",29
Argenta 02,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",19
Argenta 02,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",11
