precinct,office,candidate,votes,jurisdiction
Precinct 1,United States Senator (Democratic),"Berkley, Shelley",7,Elko
Precinct 1,United States Senator (Democratic),"Brown, Steve",1,Elko
Precinct 1,United States Senator (Democratic),"Ellsworth, Barry",0,Elko
Precinct 1,United States Senator (Democratic),"Macias, Louis",2,Elko
Precinct 1,United States Senator (Democratic),None Of These Candidates,0,Elko
Precinct 1,United States Senator (Democratic),"Price, Nancy",2,Elko
Precinct 10,United States Senator (Democratic),"Berkley, Shelley",24,Elko
Precinct 10,United States Senator (Democratic),"Brown, Steve",2,Elko
Precinct 10,United States Senator (Democratic),"Ellsworth, Barry",3,Elko
Precinct 10,United States Senator (Democratic),"Macias, Louis",1,Elko
Precinct 10,United States Senator (Democratic),None Of These Candidates,4,Elko
Precinct 10,United States Senator (Democratic),"Price, Nancy",6,Elko
Precinct 11,United States Senator (Democratic),"Berkley, Shelley",4,Elko
Precinct 11,United States Senator (Democratic),"Brown, Steve",4,Elko
Precinct 11,United States Senator (Democratic),"Ellsworth, Barry",2,Elko
Precinct 11,United States Senator (Democratic),"Macias, Louis",1,Elko
Precinct 11,United States Senator (Democratic),None Of These Candidates,3,Elko
Precinct 11,United States Senator (Democratic),"Price, Nancy",1,Elko
Precinct 12,United States Senator (Democratic),"Berkley, Shelley",19,Elko
Precinct 12,United States Senator (Democratic),"Brown, Steve",3,Elko
Precinct 12,United States Senator (Democratic),"Ellsworth, Barry",2,Elko
Precinct 12,United States Senator (Democratic),"Macias, Louis",2,Elko
Precinct 12,United States Senator (Democratic),None Of These Candidates,11,Elko
Precinct 12,United States Senator (Democratic),"Price, Nancy",3,Elko
Precinct 14,United States Senator (Democratic),"Berkley, Shelley",6,Elko
Precinct 14,United States Senator (Democratic),"Brown, Steve",2,Elko
Precinct 14,United States Senator (Democratic),"Ellsworth, Barry",3,Elko
Precinct 14,United States Senator (Democratic),"Macias, Louis",2,Elko
Precinct 14,United States Senator (Democratic),None Of These Candidates,4,Elko
Precinct 14,United States Senator (Democratic),"Price, Nancy",2,Elko
Precinct 15,United States Senator (Democratic),"Berkley, Shelley",10,Elko
Precinct 15,United States Senator (Democratic),"Brown, Steve",4,Elko
Precinct 15,United States Senator (Democratic),"Ellsworth, Barry",3,Elko
Precinct 15,United States Senator (Democratic),"Macias, Louis",1,Elko
Precinct 15,United States Senator (Democratic),None Of These Candidates,0,Elko
Precinct 15,United States Senator (Democratic),"Price, Nancy",1,Elko
Precinct 16,United States Senator (Democratic),"Berkley, Shelley",12,Elko
Precinct 16,United States Senator (Democratic),"Brown, Steve",2,Elko
Precinct 16,United States Senator (Democratic),"Ellsworth, Barry",4,Elko
Precinct 16,United States Senator (Democratic),"Macias, Louis",1,Elko
Precinct 16,United States Senator (Democratic),None Of These Candidates,1,Elko
Precinct 16,United States Senator (Democratic),"Price, Nancy",5,Elko
Precinct 18,United States Senator (Democratic),"Berkley, Shelley",3,Elko
Precinct 18,United States Senator (Democratic),"Brown, Steve",3,Elko
Precinct 18,United States Senator (Democratic),"Ellsworth, Barry",2,Elko
Precinct 18,United States Senator (Democratic),"Macias, Louis",1,Elko
Precinct 18,United States Senator (Democratic),None Of These Candidates,0,Elko
Precinct 18,United States Senator (Democratic),"Price, Nancy",2,Elko
Precinct 19,United States Senator (Democratic),"Berkley, Shelley",5,Elko
Precinct 19,United States Senator (Democratic),"Brown, Steve",1,Elko
Precinct 19,United States Senator (Democratic),"Ellsworth, Barry",0,Elko
Precinct 19,United States Senator (Democratic),"Macias, Louis",1,Elko
Precinct 19,United States Senator (Democratic),None Of These Candidates,5,Elko
Precinct 19,United States Senator (Democratic),"Price, Nancy",1,Elko
Precinct 2,United States Senator (Democratic),"Berkley, Shelley",8,Elko
Precinct 2,United States Senator (Democratic),"Brown, Steve",4,Elko
Precinct 2,United States Senator (Democratic),"Ellsworth, Barry",1,Elko
Precinct 2,United States Senator (Democratic),"Macias, Louis",4,Elko
Precinct 2,United States Senator (Democratic),None Of These Candidates,2,Elko
Precinct 2,United States Senator (Democratic),"Price, Nancy",3,Elko
Precinct 20,United States Senator (Democratic),"Berkley, Shelley",8,Elko
Precinct 20,United States Senator (Democratic),"Brown, Steve",9,Elko
Precinct 20,United States Senator (Democratic),"Ellsworth, Barry",12,Elko
Precinct 20,United States Senator (Democratic),"Macias, Louis",9,Elko
Precinct 20,United States Senator (Democratic),None Of These Candidates,9,Elko
Precinct 20,United States Senator (Democratic),"Price, Nancy",6,Elko
Precinct 22,United States Senator (Democratic),"Berkley, Shelley",15,Elko
Precinct 22,United States Senator (Democratic),"Brown, Steve",3,Elko
Precinct 22,United States Senator (Democratic),"Ellsworth, Barry",3,Elko
Precinct 22,United States Senator (Democratic),"Macias, Louis",2,Elko
Precinct 22,United States Senator (Democratic),None Of These Candidates,3,Elko
Precinct 22,United States Senator (Democratic),"Price, Nancy",6,Elko
Precinct 23,United States Senator (Democratic),"Berkley, Shelley",16,Elko
Precinct 23,United States Senator (Democratic),"Brown, Steve",4,Elko
Precinct 23,United States Senator (Democratic),"Ellsworth, Barry",7,Elko
Precinct 23,United States Senator (Democratic),"Macias, Louis",3,Elko
Precinct 23,United States Senator (Democratic),None Of These Candidates,6,Elko
Precinct 23,United States Senator (Democratic),"Price, Nancy",4,Elko
Precinct 24,United States Senator (Democratic),"Berkley, Shelley",14,Elko
Precinct 24,United States Senator (Democratic),"Brown, Steve",0,Elko
Precinct 24,United States Senator (Democratic),"Ellsworth, Barry",3,Elko
Precinct 24,United States Senator (Democratic),"Macias, Louis",0,Elko
Precinct 24,United States Senator (Democratic),None Of These Candidates,4,Elko
Precinct 24,United States Senator (Democratic),"Price, Nancy",4,Elko
Precinct 25,United States Senator (Democratic),"Berkley, Shelley",17,Elko
Precinct 25,United States Senator (Democratic),"Brown, Steve",5,Elko
